word,spell,type,meaning
ต.,dtamM bohnM,abbreviation,[written abbreviation of ตำบล ] sub-district
ต.ค.,dtooL laaM khohmM,"proper noun, abbreviation",[abbreviation for ตุลาคม ] October
ต.ช.ด.,dtaawM chaawM daawM,abbreviation,[abbreviation for ตำรวจตระเวนชายแดน] BPP
ต.ม.,dtaawM maawM,"noun, abbreviation",[abbreviation for สำนักงานตรวจคนเข้าเมือง]
ตก ,dtohkL,"verb, intransitive",to fall; to drop or pour down
ตก ,dtohkL,adjective,fallen; falling
ตก ,dtohkL,"verb, intransitive","[จะตก] will fall, drop or pour down"
ตก ,dtohkL,"verb, intransitive","[กำลังตก] is falling, dropping or pouring down"
ตก ,dtohkL,verb,[ยังตก] could still fall; may still fall; can still fall
ตก ,dtohkL,adjective,[ตกใจ] [is] startled; shocked; scared; frightened
ตก ,dtohkL,adjective,[น่าตกใจ] alarming; alarmingly; in an alarming manner
ตก ,dtohkL,"noun, formal",[น้ำตก] waterfall(s); falling water; (a) fall(s)
ตก ,dtohkL,verb,"[of a bus, train, etc.] to miss; to be left behind by"
ตก ,dtohkL,"verb, intransitive, colloquial",to arrive at; to come to
ตก ,dtohkL,"adverb, colloquial",to be approximately
ตก ,dtohkL,"adjective, adverb, colloquial",complete; ended
ตก ,dtohkL,"verb, transitive, formal",[usually followed by ปลา  or เบ็ด ] to fish
ตก ,dtohkL,"verb, intransitive, colloquial","[usually preceded by สี ] [of dye or colors in fabric] to bleed, to run, to fade"
ตก ,dtohkL,"verb, intransitive, colloquial",[usually preceded by the verb สอบ ] [of an exam or course] to flunk or fail
ตกกระ,dtohkL graL,verb,to have freckles; develop freckles; have discoloration of the skin
ตกกระไดพลอยโจน,dtohkL graL daiM phlaawyM jo:hnM,"verb, phrase",to follow through after a false step; to admit error and do the right thing; to be an innocent victim; become embroiled in a problem not of one's own making
ตกกระป๋อง,dtohkL graL bpaawngR,adjective,[is] out of favor; fall into misfortune
ตกกระป๋อง,dtohkL graL bpaawngR,adjective,[is] out of fashion; old-fashioned
ตกกล้า,dtohkL glaaF,verb,to plant rice seedlings
ตกขอบ,dtohkL khaawpL,adjective,[is] extreme
ตกเขียว,dtohkL khiaaoR,"verb, phrase",to deceive a girl into becoming a prostitute
ตกค้าง ,dtohkL khaangH,verb,to be left over; to be remaining; to be left behind
ตกค่ำ,dtohkL khamF,noun,nightfall; dusk; sunset; evening; twilight; sundown
ตกงาน,dtohkL ngaanM,verb,[is] unemployed; out of job; out of work
ตกจั่น,dtohkL janL,verb,[of a palm tree] to blossom
ตกใจ ,dtohkL jaiM,adjective,[ตกใจ] [is] startled; shocked; scared; frightened
ตกใจกลัว,dtohkL jaiM gluaaM,verb,frighten
ตกใจกลัว,dtohkL jaiM gluaaM,adjective,[is] startled and frightened
