ก.แกรู้ไหมอ้ายหมอนั่นสอบตกอีกแล้ว|abbreviation,example sentence
ก.ใกล้หมดเวลาพักเที่ยงแล้วยังกินข้าวไม่เสร็จอีกหรือ|example sentence
กขไม่กระดิกหู|noun,phrase,idiom
ก.ขอพูดกับเกล็นครับ|example sentence,formal
ก.ขอให้สมพรปากนะ|example sentence
ก.เขาจะมาหาคุณวันนี้ใช่ไหม|example sentence
ก.เขาไปไหนเนี่ย|example sentence
[ก.]ความจริงตัวผมเองชอบอยู่บ้านมากกว่าแต่สำหรับคนโสดผมว่าอยู่แฟล็ตดีกว่า|example sentence
ก.คืนนี้ไปเที่ยวไหนกันดีพวกเรา|example sentence
[ก.]คุณครับอย่าขับเร็วนักสิครับกรุณาขับช้าๆหน่อยได้ไหมครับ|example sentence
ก.คุณจะโทรกลับบ้านเมื่อไร|example sentence
ก.คุณจะล้างรถเมื่อไร|example sentence
[ก.]คุณจะอยู่เองหรือ|example sentence
ก.คุณชอบฟังดนตรีแนวไหน|example sentence
ก.คุณชอบฟังเพลงไทยไหมคะ|example sentence
[ก.]คุณได้บ้านเช่าแล้วหรือยัง|example sentence
ก.คุณต้องเข้าประชุมแล้วไม่ใช่หรือ|example sentence
ก.คุณแต่งงานกี่ปีมาแล้ว|example sentence
ก.คุณแต่งงานเมื่อไร|example sentence
ก.คุณมากินพิซซาด้วยกันไหมครับ|example sentence
ก.คุณมีขันเงินใหญ่ๆบ้างมั้ย|example sentence
ก.คุณไม่ไปเที่ยวหรอกรึคะ|example sentence
ก.คุณรู้จักเขาดีแค่ไหนทำไมคุณถึงให้เขายืมเงิน|example sentence
ก.คุณเห็นวีระไหม|example sentence
ก.ใครทำถ้วยแก้วแตกวะ|example sentence
ก.ใครไปกับเธอ|example sentence
ก.งั้นก็อยู่เฉยๆไม่ต้องทำอะไรอย่างนี้ล่ะ|example sentence
[ก.]งั้นแปดบาทไปไหมเคยไปได้แปดบาท|example sentence
ก.จะถึงเชียงใหม่เวลาเท่าไรครับ|example sentence
ก.จะไปไหนเหรอ|example sentence
[ก.]เจ็ดบาทได้ไหมใกล้แค่นี้เอง|example sentence
ก.ฉันเกลียดผู้ชายคนนั้นจังเลยนิสัยไม่ดี|example sentence
ก.ฉันได้ยินมาว่าเธอเป็นแฟนกับเจ้าป๋องจริงหรือเปล่า|example sentence
ก.ฉันไม่สบายไม่ค่อยได้ไปทำงานหลายวันแล้ว|example sentence
ก.ใช่เล่มนั้นแหละครับ|example sentence
ก.ใช้การวัดแสงแบบเฉพาะจุดวัดแสงที่บริเวณแก้มของตัวแบบ(วิธีการนี้อาจทำให้ฉากหลังว่างเกินไป)|example sentence
ก.ดิฉันต้องการพบคุณหมอขอเข้าพบตอนนี้เลยได้ไหมคะ|example sentence
ก.ดูซิเขาทำเสื้อฉันเปื้อนหมด|example sentence
[ก.]เดือนละห้าพันบาทค่ะไม่รวมค่าน้ำค่าไฟค่าแก๊สและค่าโทรศัพท์ผู้เช่าต้องเสียเอง|example sentence
ก.เดือนหน้ามีวันหยุดยาวเราไปเที่ยวฮ่องกงกันไหม|example sentence
ก.ได้ข่าวว่าเธอเข้าวีนในที่ประชุมเมื่อวานนี้ไม่กลัวว่าแผนกเราจะมีปัญหาเหรอ|example sentence
ก.ได้ครับขอบคุณครับ|example sentence,formal
ก.ถ้ายังงั้นเค้าคงฝากคนอื่นไว้ให้มั่งตอนนั้นคุณคงไม่อยู่บ้าน|example sentence
ก.ทั้งปี|example sentence
ก.ทานข้าวด้วยกันสิครับ|example sentence
ก.ทำไมคนเราถึงชอบดื่มเหล้ากันนักนะโดยเฉพาะคนไทยดื่มจัดจริงๆ|example sentence
ก.ทำไมมาช้านักล่ะ|example sentence
ก.ที่บ้านน้ำท่วมมากไหมครับ|example sentence
ก.ที่บ้านเป็นอย่างไรบ้างครับ|example sentence
ก.ที่รักช่วยหุงข้าวให้หน่อยสิคะน้องจะดูละครละคะ|example sentence
[ก.]แท็กซี่|example sentence
[ก.]โทรไปถามเขาโดยตรงครับไม่ต้องผ่านนายหน้า|example sentence
ก.โทรศัพท์เครื่องนี้ทำไมดูก๊องแก๊งจัง|example sentence
ก.เธอโกรธฉันเรื่องอะไรทำไมถึงได้ทำหน้าบึ้งอย่างนี้|example sentence
ก.เธอจะไปทำงานเมื่อไร|example sentence
ก.เธอทำเช่นนั้นทำไม|example sentence
ก.เธอพูดอะไร|example sentence
ก.นายเห็นผู้หญิงคนที่นั่งอยู่ตรงนั้นไหมนายว่าเธอเต้นรำเป็นยังไง|example sentence
ก.น้ำท่วมไปหมดแล้วคุณจะกลับบ้านได้ยังไง|example sentence
ก.นี่เธอฉันไปตรวจมาแล้วนะหมอบอกว่าปกติทุกอย่าง|example sentence
ก.นี่เธอดูลูกบ้านนั้นสิพ่อแม่อุตส่าห์ส่งไปเรียนกรุงเทพฯจบปริญญามาทั้งทีกลับต้องมาทำไร่ทำนาเหมือนพ่อแม่แทนที่จะได้งานดีๆทำ|example sentence
ก.นี่เธอออกไปหาอะไรกินกันไหม|example sentence
[ก.]ในซอยบ้านผมมีบ้านว่างให้เช่าอยู่หลังหนึ่ง|example sentence
ก.บอกมาซิใครทำแตกล่ะ|example sentence
[ก.]เบอร์เก้าหกโทสามสี่หกครับ|example sentence
ก.ไบรอันครับ|example sentence,formal
ก.ปั๊มน้ำมันอยู่เลยสะพานไปไกลเท่าไหร่|example sentence
ก.ปิดเทอมนี้ไปเที่ยวเชียงใหม่กันไหม|example sentence
[ก.]เป็นยังไงบ้างคะบ้านหลังนี้คุณชอบไหมคะ|example sentence
ก.เปลี่ยนชื่อดีไหมถ้าชื่อปัจจุบันมีตัวกาลกิณีและความหมายไม่ดี|example sentence
[ก.]ไปก็ไปช่วยไปช้าๆหน่อยนะครับ|example sentence
ก.ไปกับเขาเหมือนกันเหรอคนไปสมัครเยอะนะ|example sentence
ก.ไปกินข้าวกันไหม|example sentence
ก.ไปดูหนังกันไหม|example sentence
[ก.]ไปประตูน้ำเอาเท่าไหร่|example sentence
[ก.]ผมจะไปหาอะไรทานข้างนอกไปด้วยกันไหม|example sentence
[ก.]ผมได้ยินว่าคุณมีบ้านให้เช่าใช่ไหมครับ|example sentence
ก.ผมโทรศัพท์หาคุณตั้งสามครั้งทำไมไม่รับ|example sentence
ก.ผมเพิ่งซื้อหนังสือดีๆมาฝากเล่มหนึ่งแน่ะ|example sentence
ก.ผมไม่ได้ตั้งจะสั่งซื้อจากผู้ผลิตรายนี้แต่เขาโทรมาในจังหวะที่เราต้องการของพอดี|example sentence
[ก.]ผมไม่ได้ถามรายละเอียดเป็นบ้านใหม่น่าอยู่ดีสำหรับครอบครัวเล็กๆอย่างคุณขนาดกำลังพอดีไม่เล็กไม่ใหญ่เกินไป|example sentence
