word,part_of_speechs
"*",""
"*",""
"เรา","pronoun"
"คน","noun,prefix,classifier,verb,adjective"
"หนึ่ง","noun,adjective"
"เป็นพนักงาน","noun"
"ออฟฟิศ","noun"
" ",""
"ที่","pronoun,preposition,noun,conjunction,prefix,particle,classifier"
"โต","adjective,noun,verb"
"มาพร้อมกับ","verb,transitive,phrase"
"โซ","adjective,noun"
"เชี",""
"ยล","verb,transitive"
"เน็ต","noun"
"เวิร์",""
"ค","noun"
" ",""
"ระหว่าง","noun,adverb,preposition"
"ทำงาน","verb"
"ก็มี","verb,phrase"
"แอบ","verb,noun"
" ",""
"เปิด","verb,noun,adjective"
" ",""
"Facebook",""
",",""
" ",""
" ",""
"instagram",""
",",""
" ",""
"twitter",""
",",""
" ",""
"และ","conjunction"
" ",""
"(",""
"youtube",""
" ",""
"ยิ่ง","adjective,adverb,conjunction"
"ขาด","verb,adjective"
"ไม่ได้","verb"
"เพราะ","conjunction,adjective"
"ปัจจุบัน","adverb,adjective"
"มี","verb,transitive,noun,adjective"
"รายการ","noun,classifier"
"มากมาย","adjective"
"ใน","preposition"
"ทีวี","noun"
" ",""
"ที่","pronoun,preposition,noun,conjunction,prefix,particle,classifier"
"ดู","verb,transitive,intransitive,adjective"
"ไม่ทัน","adjective"
"พนักงาน","noun"
"ออฟฟิศ","noun"
"อย่าง","noun,adjective,prefix,classifier"
"เรา","pronoun"
"ก็","conjunction,particle,idiom"
"ขอ","verb,noun,adjective"
"แอบ","verb,noun"
"มา","verb,transitive,intransitive,particle,noun,adjective,conjunction"
"ดู","verb,transitive,intransitive,adjective"
"ย้อนหลัง","adjective"
"แล้วกัน","interjection,phrase"
"ไม่ว่า","conjunction"
"จะเป็น","verb"
" ",""
"ราย","noun,verb,classifier"
"กการ",""
" ",""
"Workpoint",""
",",""
" ",""
"ละคร","noun"
"จาก","preposition,adjective,verb,noun"
"ช่อง","noun,classifier"
" ",""
"3...",""
"one",""
".",""
".",""
".",""
"GMM",""
".",""
".",""
".",""
")",""
" ",""
"",""
"*",""
"*",""
"เรา","pronoun"
"ก็เลย","conjunction,phrase"
"สงสัย","verb,adjective"
"ว่า","conjunction,verb"
"สมัย","noun"
"ที่","pronoun,preposition,noun,conjunction,prefix,particle,classifier"
"ไม่มี","adverb"
" ",""
"โซ","adjective,noun"
"เชี",""
"ยล","verb,transitive"
"เน็ต","noun"
"เวิร์",""
"ค","noun"
" ",""
"พนักงาน","noun"
"ออฟฟิศ","noun"
"พวกเขา","pronoun"
"นั่ง","verb"
"แอบ","verb,noun"
"ทำอะไร","pronoun,phrase"
"กัน","adverb,conjunction,verb,transitive,noun,pronoun"
"บ้าง","adjective,adverb,pronoun"
"ระหว่าง","noun,adverb,preposition"
"ทำงาน","verb"
"",""
"",""
"ยุค","noun"
"ที่","pronoun,preposition,noun,conjunction,prefix,particle,classifier"
"เริ่ม","verb"
"ทำงาน","verb"
"ปี","noun,classifier"
" ",""
"2526",""
" ",""
"(",""
"แก่","adjective,preposition,noun"
"จัง","adverb,particle"
")",""
" ",""
" ",""
"ไม่มี","adverb"
"มือถือ","adverb"
" ",""
" ",""
"เพิ่ง","verb"
"เริ่ม","verb"
