word,part_of_speechs
"36332298",""
"|",""
"|",""
"https",""
":",""
"/",""
"/",""
"pantip",""
".",""
"com",""
"/",""
"topic",""
"/",""
"36332298",""
"|",""
"|",""
"หลายวัน","adverb"
"ก่อน","adverb,prefix"
"ตอนกลางวัน","adverb"
" ",""
"ให้","verb,transitive,preposition,conjunction,noun,prefix"
"เด็ก","noun"
"ซื้อ","verb,transitive,intransitive,noun,adjective"
"ให้","verb,transitive,preposition,conjunction,noun,prefix"
"กิน","verb,transitive,intransitive,noun,adjective"
" ",""
"หิว","adjective,noun"
"ก็","conjunction,particle,idiom"
"หิว","adjective,noun"
" ",""
"ร้าน","noun,classifier"
"ไหนๆ","conjunction"
"ก็","conjunction,particle,idiom"
"ไม่","particle"
"ขาย",""
" ",""
"เปิด","verb,noun,adjective"
"กล่อง","noun,classifier"
"มา","verb,transitive,intransitive,particle,noun,adjective,conjunction"
"แทบ","adverb,pronoun"
"ช็อค","verb,noun"
" ",""
"ร้อง","verb"
"หนัก","adjective,adverb,noun"
"มาก",""
" ",""
"ถ่ายรูป","verb"
"เก็บไว้","verb"
" ",""
"ผ่านไป","verb"
"หลายวัน","adverb"
"สั่ง","verb,noun"
"ว่า","conjunction,verb"
"ไม่ใส่","verb"
"ผัก","noun"
" ",""
"แต่","conjunction,preposition,particle,verb"
"เหตุการณ์","noun,phrase"
"เดิม","noun,adverb,adjective"
" ",""
"แบบ","noun,verb,adjective,preposition,particle,classifier"
"เดิม","noun,adverb,adjective"
"ลืม","verb,adjective"
"ถ่ายรูป","verb"
" ",""
"คือ","verb,transitive,conjunction"
"มาก",""
"น้อย","adjective,noun"
"ไม่สำคัญ","adjective,phrase"
"หรอก","particle"
"แต่","conjunction,preposition,particle,verb"
"สั่ง","verb,noun"
"ผัด","verb"
"กระ","prefix,noun"
"เพรา","adjective,noun"
"เปล่า","noun,adjective,adverb"
"ฟ",""
"ระ","verb"
" ",""
"ไม่ใช่","verb"
"ผัด","verb"
"เผ็ด","adjective"
"ผัก","noun"
"ใส่","verb,adjective,noun,preposition"
"หมู","noun,adjective"
" ",""
"แต่","conjunction,preposition,particle,verb"
"ที่","pronoun,preposition,noun,conjunction,prefix,particle,classifier"
"เห็น","verb,transitive,intransitive,adjective"
"คือ","verb,transitive,conjunction"
"วิญญาณ","noun"
"หมู","noun,adjective"
" ",""
"มีแต่","verb"
"ผัก","noun"
" ",""
"ถั่ว","noun"
" ",""
"และ","conjunction"
"พริก","noun"
" ",""
"เขี่ย","verb"
"ไป","verb,transitive,intransitive,noun,adjective"
"ทาง","noun,preposition,verb,classifier"
"ไหน","adverb,conjunction,pronoun"
"ก็","conjunction,particle,idiom"
"พริก","noun"
" ",""
"เป็น","verb,transitive,intransitive,prefix,conjunction,preposition"
"คน","noun,prefix,classifier,verb,adjective"
"กิน","verb,transitive,intransitive,noun,adjective"
"พริก","noun"
"ได้","verb,transitive,noun,adverb,particle"
" ",""
"ชอบกิน","verb"
"ผัก","noun"
" ",""
"แต่","conjunction,preposition,particle,verb"
"สั่ง","verb,noun"
"ผัด","verb"
"กระ","prefix,noun"
"เพรา","adjective,noun"
" ",""
"ไม่งั้น","conjunction"
"สั่ง","verb,noun"
"ผัดผัก","noun"
"ไป","verb,transitive,intransitive,noun,adjective"
"ละ","adjective,verb,particle,adverb"
"ค่าาาาาาาาาาาาาาาา",""
" ",""
"ใส่",""
"นิดหน่อย",""
"พอ",""
"เป็น",""
"พิธี",""
"ก็พอ",""
"มั้ง",""
" ",""
"ใส่",""
"ขนาด",""
"นี้",""
" ",""
"ฆ่า",""
"ตรู",""
"เถอะ",""
" ",""
"เด็ก","adverb"
"บอก","adjective,verb,noun,adverb,conjunction"
"เสีย","verb,transitive,intransitive,prefix,conjunction,preposition"
"อารมณ์","noun"
"ก็","phrase"
"ไม่ต้องกิน","adverb,particle"
" ",""
"เรื่อง","verb,adjective,noun,preposition"
"อะไร","noun,adverb"
"ตรู","adjective"
"ซื้อ",""
"มานะ","verb"
"จะ","adjective"
"ทิ้ง","particle"
"ได้",""
"ไง","noun"
" ",""
"คือ","verb,transitive,intransitive,adjective,noun,adverb,particle"
"อัลไล",""
"กี่","conjunction,particle,idiom"
"ค","verb"
"รั้ง",""
"ๆ",""
"ก็","adverb,noun,pronoun"
"แบบนี้","adjective"
" ",""
"ร้าน","noun,verb"
"อื่น","verb,noun,adverb"
"ไม่","verb"
"หยุด","verb,transitive,noun,adverb,particle"
"ก็","adverb"
"ไม่ได้กิน",""
"เงิน","verb,transitive,conjunction"
"หรอก","prefix"
" ",""
"ข้าว",""
"ร้านนี้",""
"ไม่",""
"จำเป็น","noun,phrase"
"จริงๆ","noun,classifier"
"จะ","verb,transitive,intransitive"
"ไม่",""
"ซื้อ","conjunction,particle,idiom"
"กิน","phrase"
"เด็ดขาด",""
" ",""
"อยาก","adjective,pronoun"
"ถาม","particle"
"เพื่อนๆ","verb"
"ว่า","conjunction,particle,idiom"
" ",""
"เจอ","noun,adjective"
"สภาพ","particle"
"ข้าว",""
"กล่อง",""
" ",""
"ข้าวผัด","particle"
"กระ","adjective,verb,intransitive"
"เพรา","adjective"
"แบบไหน","verb,noun,adverb"
" ",""
"แล้ว","verb,transitive,intransitive,noun,adjective"
"รู้สึก","verb,transitive,intransitive,noun,adjective"
"ยังไง","adjective,adverb"
"บ้าง",""
" ",""
"#",""
"อารมณ์เสีย","noun"
" ",""
"[",""
"Spoil",""
"]",""
" ",""
"คลิก","noun,classifier"
"เพื่อ",""
"ดู","noun"
"ข้อความ","prefix,noun"
"ที่ซ่อน","adjective,noun"
"ไว้","phrase"
"",""
"36332298",""
"|",""
"|",""
"https",""
":",""
"/",""
"/",""
"pantip",""
".",""
"com",""
"/",""
"topic",""
"/",""
"36332298",""
"/",""
"comment",""
"22",""
"|",""
"|",""
"เคย",""
"สั่ง","verb,transitive,preposition,conjunction,noun,prefix"
"ข้าว","noun"
